date,open,high,low,volume,sentiment,close
2018-01-01,1060.0,1060.0,1060.0,0,1.0,1060.0
2018-01-02,1080.0,1080.0,1060.0,265000,1.0,1070.0
2018-01-03,1080.0,1080.0,1065.0,230000,1.0,1070.0
2018-01-04,1050.0,1075.0,1050.0,410000,1.0,1060.0
2018-01-05,1070.0,1070.0,1065.0,267000,1.0,1065.0
2018-01-08,1040.0,1060.0,1020.0,311000,1.0,1040.0
2018-01-09,1040.0,1050.0,1040.0,67000,1.0,1050.0
2018-01-10,1047.5,1050.0,930.0,544000,1.0,950.0
2018-01-11,975.0,1075.0,975.0,654000,1.0,1055.0
2018-01-12,1070.0,1070.0,1020.0,22000,1.0,1025.0
2018-01-15,1027.5,1080.0,1027.5,331000,1.0,1080.0
2018-01-16,1070.0,1070.0,1065.0,66000,0.0,1065.0
2018-01-17,1070.0,1070.0,1065.0,350000,0.0,1065.0
2018-01-18,1070.0,1090.0,1070.0,426000,0.0,1090.0
2018-01-19,1075.0,1080.0,1075.0,243000,0.0,1075.0
2018-01-22,1080.0,1080.0,1070.0,71000,1.0,1070.0
2018-01-23,1080.0,1080.0,1077.5,34000,1.0,1077.5
2018-01-24,1080.0,1090.0,1080.0,407000,1.0,1090.0
2018-01-25,1090.0,1095.0,1090.0,102000,1.0,1092.5
2018-01-26,1092.5,1095.0,1092.5,131000,1.0,1092.5
2018-01-29,1090.0,1090.0,1085.0,21000,1.0,1085.0
2018-01-30,1085.0,1090.0,1080.0,25000,1.0,1080.0
2018-01-31,1070.0,1070.0,1060.0,29000,1.0,1070.0
2018-02-01,1050.0,1050.0,1030.0,69000,0.0,1050.0
2018-02-02,1050.0,1050.0,1050.0,0,1.0,1050.0
2018-02-05,1080.0,1080.0,1070.0,23000,1.0,1070.0
2018-02-06,1070.0,1080.0,1070.0,82000,1.0,1080.0
2018-02-07,1070.0,1080.0,1070.0,38000,1.0,1070.0
2018-02-08,1075.0,1075.0,1075.0,5000,1.0,1075.0
2018-02-09,1075.0,1075.0,1075.0,155000,1.0,1075.0
2018-02-12,1080.0,1080.0,1075.0,202000,1.0,1080.0
2018-02-13,1080.0,1080.0,1075.0,107000,1.0,1080.0
2018-02-14,1075.0,1075.0,1075.0,51000,1.0,1075.0
2018-02-15,1080.0,1080.0,1075.0,113000,0.0,1080.0
2018-02-16,1080.0,1080.0,1080.0,0,0.0,1080.0
2018-02-19,1077.5,1077.5,1075.0,51000,1.0,1075.0
2018-02-20,1085.0,1085.0,1075.0,65000,1.0,1075.0
2018-02-21,1080.0,1080.0,1075.0,22000,1.0,1080.0
2018-02-22,1080.0,1080.0,1070.0,318000,1.0,1070.0
2018-02-23,1080.0,1080.0,1070.0,110000,1.0,1070.0
2018-02-26,1075.0,1080.0,1075.0,32000,1.0,1075.0
2018-02-27,1077.5,1077.5,1075.0,9000,1.0,1075.0
2018-02-28,1075.0,1075.0,1075.0,10000,1.0,1075.0
2018-03-01,1075.0,1077.5,1075.0,116000,1.0,1075.0
2018-03-02,1075.0,1075.0,1075.0,50000,1.0,1075.0
2018-03-05,1075.0,1075.0,1075.0,0,1.0,1075.0
2018-03-06,1075.0,1075.0,1075.0,8000,1.0,1075.0
2018-03-07,1075.0,1075.0,1070.0,44000,1.0,1070.0
2018-03-08,1075.0,1075.0,1075.0,8000,1.0,1075.0
2018-03-09,1075.0,1075.0,1075.0,20000,1.0,1075.0
2018-03-12,1075.0,1075.0,1075.0,0,1.0,1075.0
2018-03-13,1075.0,1075.0,1075.0,10000,1.0,1075.0
2018-03-14,1075.0,1075.0,1075.0,5000,1.0,1075.0
2018-03-15,1070.0,1070.0,1065.0,18000,1.0,1065.0
2018-03-16,1075.0,1075.0,1070.0,42000,1.0,1070.0
2018-03-19,1075.0,1075.0,1075.0,18000,1.0,1075.0
