date,open,high,low,volume,close
2018-01-01,1060,1060,1060,0,1060
2018-01-02,1080,1080,1060,265000,1070
2018-01-03,1080,1080,1065,230000,1070
2018-01-04,1050,1075,1050,410000,1060
2018-01-05,1070,1070,1065,267000,1065
2018-01-08,1040,1060,1020,311000,1040
2018-01-09,1040,1050,1040,67000,1050
2018-01-10,1047.5,1050,930,544000,950
2018-01-11,975,1075,975,654000,1055
2018-01-12,1070,1070,1020,22000,1025
2018-01-15,1027.5,1080,1027.5,331000,1080
2018-01-16,1070,1070,1065,66000,1065
2018-01-17,1070,1070,1065,350000,1065
2018-01-18,1070,1090,1070,426000,1090
2018-01-19,1075,1080,1075,243000,1075
2018-01-22,1080,1080,1070,71000,1070
2018-01-23,1080,1080,1077.5,34000,1077.5
2018-01-24,1080,1090,1080,407000,1090
2018-01-25,1090,1095,1090,102000,1092.5
2018-01-26,1092.5,1095,1092.5,131000,1092.5
2018-01-29,1090,1090,1085,21000,1085
2018-01-30,1085,1090,1080,25000,1080
2018-01-31,1070,1070,1060,29000,1070
2018-02-01,1050,1050,1030,69000,1050
2018-02-02,1050,1050,1050,0,1050
2018-02-05,1080,1080,1070,23000,1070
2018-02-06,1070,1080,1070,82000,1080
2018-02-07,1070,1080,1070,38000,1070
2018-02-08,1075,1075,1075,5000,1075
2018-02-09,1075,1075,1075,155000,1075
2018-02-12,1080,1080,1075,202000,1080
2018-02-13,1080,1080,1075,107000,1080
2018-02-14,1075,1075,1075,51000,1075
2018-02-15,1080,1080,1075,113000,1080
2018-02-16,1080,1080,1080,0,1080
2018-02-19,1077.5,1077.5,1075,51000,1075
2018-02-20,1085,1085,1075,65000,1075
2018-02-21,1080,1080,1075,22000,1080
2018-02-22,1080,1080,1070,318000,1070
2018-02-23,1080,1080,1070,110000,1070
2018-02-26,1075,1080,1075,32000,1075
2018-02-27,1077.5,1077.5,1075,9000,1075
2018-02-28,1075,1075,1075,10000,1075
2018-03-01,1075,1077.5,1075,116000,1075
2018-03-02,1075,1075,1075,50000,1075
2018-03-05,1075,1075,1075,0,1075
2018-03-06,1075,1075,1075,8000,1075
2018-03-07,1075,1075,1070,44000,1070
2018-03-08,1075,1075,1075,8000,1075
2018-03-09,1075,1075,1075,20000,1075
2018-03-12,1075,1075,1075,0,1075
2018-03-13,1075,1075,1075,10000,1075
2018-03-14,1075,1075,1075,5000,1075
2018-03-15,1070,1070,1065,18000,1065
2018-03-16,1075,1075,1070,42000,1070
2018-03-19,1075,1075,1075,18000,1075
2018-03-20,1075,1075,1075,0,1075
2018-03-21,1075,1080,1075,47000,1080
2018-03-22,1080,1080,1080,0,1080
2018-03-23,1080,1080,1080,1000,1080
2018-03-26,1080,1080,1080,0,1080
2018-03-27,1077.5,1077.5,1077.5,18000,1077.5
2018-03-28,1077.5,1077.5,1070,2000,1070
2018-03-29,1070,1070,1070,0,1070
2018-03-30,1070,1070,1070,0,1070
2018-04-02,1070,1070,1070,0,1070
2018-04-03,1070,1070,1070,0,1070
2018-04-04,1070,1070,1070,0,1070
2018-04-05,1070,1070,1070,0,1070
2018-04-06,1070,1070,1070,0,1070
2018-04-09,1070,1070,1070,13000,1070
2018-04-10,1070,1070,1070,17000,1070
2018-04-11,1070,1070,1070,0,1070
2018-04-12,1070,1070,1070,0,1070
2018-04-13,1085,1085,1080,51000,1080
2018-04-16,1080,1080,1080,0,1080
2018-04-17,1080,1080,1080,0,1080
2018-04-18,1085,1085,1085,50000,1085
2018-04-19,1085,1085,1085,0,1085
2018-04-20,1085,1085,1085,0,1085
2018-04-23,1100,1100,1090,90000,1100
2018-04-24,1100,1100,1100,1000,1100
2018-04-25,1100,1100,1100,0,1100
2018-04-26,1100,1100,1100,0,1100
2018-04-27,1100,1100,1100,0,1100
2018-04-30,1260,1260,1097.5,3000,1097.5
2018-05-01,1097.5,1097.5,1097.5,0,1097.5
2018-05-02,1097.5,1097.5,1097.5,9000,1097.5
2018-05-03,1097.5,1097.5,1097.5,0,1097.5
2018-05-04,1097.5,1097.5,1092.5,215000,1095
2018-05-07,1095,1095,1095,50000,1095
2018-05-08,1095,1095,1095,52000,1095
2018-05-09,1095,1095,1095,9000,1095
2018-05-10,1095,1095,1095,0,1095
2018-05-11,1095,1095,1095,0,1095
2018-05-14,1090,1090,1090,1000,1090
2018-05-15,1090,1090,1090,0,1090
2018-05-16,1090,1090,1090,0,1090
2018-05-17,1087.5,1090,1087.5,38000,1090
2018-05-18,1090,1090,1090,0,1090
2018-05-21,1090,1090,1090,0,1090
2018-05-22,1090,1090,1090,0,1090
2018-05-23,1087.5,1087.5,875,11000,875
2018-05-24,902.5,1050,900,12000,1050
2018-05-25,1050,1050,1050,0,1050
2018-05-28,1095,1095,1095,70000,1095
2018-05-29,1095,1095,1095,0,1095
2018-05-30,1110,1110,1090,77000,1110
2018-05-31,1100,1125,1100,2038000,1110
2018-06-01,1110,1110,1110,0,1110
2018-06-04,1107.5,1125,1107.5,1450000,1125
2018-06-05,1130,1135,1115,497000,1125
2018-06-06,1125,1132.5,1120,1661000,1132.5
2018-06-07,1135,1140,1130,2479000,1137.5
2018-06-08,1125,1130,1060,85000,1060
2018-06-11,1060,1060,1060,0,1060
2018-06-12,1060,1060,1060,0,1060
2018-06-13,1060,1060,1060,0,1060
2018-06-14,1060,1060,1060,0,1060
2018-06-15,1060,1060,1060,0,1060
2018-06-18,1060,1060,1060,0,1060
2018-06-19,1060,1060,1060,0,1060
2018-06-20,1060,1065,1060,11000,1065
2018-06-21,1110,1135,1110,333000,1135
